Machine_ID,Temperature,Run_Time,Downtime_Flag
M-592,73.15,6218,1
M-647,93.9,9661,1
M-920,105.19,6056,1
M-544,52.82,8043,0
M-269,88.09,4428,1
M-345,119.96,8849,1
M-454,115.53,6872,1
M-154,100.75,7824,1
M-832,59.73,9786,0
M-457,107.61,4778,0
M-408,83.66,6087,1
M-618,114.07,7344,0
M-872,54.85,5446,1
M-114,75.22,6554,0
M-225,60.45,2863,1
M-812,75.88,5488,0
M-325,89.06,5239,1
M-216,63.57,4763,0
M-378,59.86,5200,1
M-787,92.6,7077,0
M-472,71.65,7475,1
M-598,104.18,8031,0
M-776,111.85,6112,0
M-800,71.0,5397,1
M-522,97.41,8823,1
M-928,119.61,7854,0
M-713,98.38,8773,0
M-237,75.95,193,1
M-983,119.33,6579,0
M-356,78.69,7325,1
M-847,51.64,5841,1
M-989,83.15,579,0
M-255,85.8,1734,0
M-381,86.51,5555,0
M-241,95.2,3655,1
M-683,86.92,5475,0
M-851,59.42,7105,0
M-516,56.22,116,1
M-468,71.71,1103,1
M-940,95.97,6318,1
M-404,104.17,5807,0
M-107,108.99,4609,1
M-654,104.61,2004,1
M-675,93.19,5431,1
M-268,71.81,4006,0
M-884,73.55,7707,1
M-691,50.96,9376,0
M-808,79.85,2294,0
M-546,59.94,1300,1
M-971,81.83,2363,0
M-729,94.7,159,1
M-912,98.6,4231,1
M-406,54.7,403,1
M-800,90.2,8936,1
M-475,103.39,5568,1
M-720,63.71,9753,0
M-311,68.53,9490,1
M-413,98.87,4257,0
M-172,99.06,2643,1
M-975,103.23,7654,0
M-709,95.17,6556,1
M-147,63.03,4247,1
M-367,95.57,8460,1
M-728,54.28,8814,1
M-377,86.19,7034,0
M-927,64.79,6176,0
M-702,58.82,6768,0
M-496,99.76,2215,0
M-351,89.52,1142,1
M-213,77.05,3081,1
M-266,85.98,7447,1
M-474,51.58,9384,1
M-411,68.71,9982,0
M-868,98.43,8455,0
M-174,52.18,8525,0
M-663,69.67,3868,0
M-774,81.8,2479,0
M-934,97.36,7834,1
M-556,95.83,7251,0
M-484,98.31,4907,0
M-659,115.25,6879,1
M-741,110.26,8077,0
M-735,62.68,9271,1
M-583,109.28,9742,1
M-524,108.05,9884,1
M-610,71.84,4234,0
M-218,86.0,4523,0
M-603,54.69,4506,1
M-464,71.39,7884,0
M-366,118.03,6700,1
M-136,108.93,6313,1
M-161,84.08,2992,1
M-473,87.95,8918,1
M-810,58.97,7789,1
M-192,97.85,4366,1
M-141,114.0,2381,1
M-654,70.62,9373,0
M-589,58.94,6380,0
M-382,63.71,3228,0
M-254,68.39,632,1
M-188,58.36,6645,1
M-916,54.65,7288,0
M-256,114.62,4010,1
M-428,50.34,2618,1
M-135,62.16,648,1
M-597,105.25,3635,1
M-864,104.09,8143,0
M-637,65.52,573,1
M-116,66.94,9357,0
M-515,78.97,1280,0
M-561,94.58,7274,1
M-880,66.73,2508,1
M-705,96.89,3187,1
M-520,73.16,5679,0
M-566,65.16,1013,1
M-737,117.77,5939,1
M-845,60.85,3001,0
M-474,88.41,4088,1
M-924,111.16,5993,0
M-590,92.1,349,0
M-722,77.29,1311,0
M-727,59.51,7292,0
M-982,89.83,7560,0
M-979,89.71,1939,0
M-410,58.87,1546,1
M-526,72.05,9319,1
M-904,92.36,2031,1
M-333,118.83,8081,1
M-824,109.68,871,0
M-267,79.49,9886,0
M-940,109.53,4495,1
M-371,108.5,4000,1
M-812,80.39,6016,0
M-150,105.37,3321,0
M-641,88.67,1758,0
M-341,118.73,609,1
M-956,96.88,4765,1
M-899,78.51,6977,0
M-462,72.97,8186,1
M-809,99.36,2158,0
M-165,90.71,458,1
M-447,80.86,3751,1
M-807,74.54,2124,1
M-370,63.24,2161,0
M-864,100.8,6819,0
M-440,89.38,1916,1
M-111,56.83,2112,0
M-511,114.55,7800,0
M-189,66.39,9731,1
M-933,93.26,5046,0
M-926,96.09,5824,0
M-567,89.52,975,0
M-174,55.79,7446,0
M-407,52.68,3361,1
M-969,79.07,1721,1
M-308,99.17,1889,0
M-140,112.81,6880,0
M-695,84.24,6556,0
M-833,78.85,5026,1
M-592,117.85,5718,1
M-230,52.65,9364,0
M-795,119.21,5214,1
M-726,67.47,5581,0
M-827,85.15,878,1
M-491,105.16,3208,0
M-451,107.23,7860,1
M-408,96.19,718,1
M-226,106.25,7893,0
M-819,115.24,7232,0
M-898,113.75,5125,0
M-205,114.51,6894,0
M-170,86.26,3659,1
M-825,85.04,8545,0
M-567,76.77,5537,0
M-342,110.09,1467,1
M-243,119.2,5210,1
M-410,72.42,4780,1
M-407,65.34,3774,0
M-666,64.28,124,0
M-145,81.12,5105,0
M-140,93.72,8276,1
M-424,107.81,3555,0
M-179,78.99,6554,1
M-619,105.29,5217,0
M-439,73.02,757,0
M-736,86.04,7713,1
M-229,104.43,9235,0
M-323,106.85,5980,0
M-144,53.56,6121,0
M-646,112.69,6958,1
M-872,105.77,3583,0
M-111,74.06,207,1
M-752,97.12,901,0
M-460,90.99,4043,1
M-745,64.97,1081,1
M-329,98.7,1095,0
M-852,89.21,8770,1
M-299,101.65,2409,0
M-214,108.36,8684,0
M-199,62.76,9347,0
M-497,78.91,5319,0
M-196,58.33,5161,0
M-225,105.94,7452,1
M-634,116.4,9847,0
M-456,88.15,1895,0
M-881,59.67,836,1
M-330,98.15,7763,1
M-297,79.51,347,0
M-882,95.38,9688,1
M-412,103.6,6076,0
M-965,101.2,2238,1
M-327,116.06,7947,1
M-282,107.81,5681,1
M-225,77.19,2545,0
M-458,80.6,9805,0
M-165,76.95,8622,1
M-259,93.97,8278,0
M-340,107.34,9667,0
M-475,85.57,9415,1
M-690,118.95,9021,1
M-249,62.63,7057,0
M-635,111.87,8235,0
M-414,112.36,677,1
M-151,60.5,653,1
M-970,73.8,9410,1
